Rank,Title,Score
1,"Sousou no Frieren
        TV (28 eps)
        Sep 2023 - Mar 2024
        823,404 members",9.34
2,"Fullmetal Alchemist: Brotherhood
        TV (64 eps)
        Apr 2009 - Jul 2010
        3,383,867 members
      

 Manga Store
Volume 1
$6.99 Preview",9.09
3,"Steins;Gate
        TV (24 eps)
        Apr 2011 - Sep 2011
        2,591,942 members",9.07
4,"Gintama°
        TV (51 eps)
        Apr 2015 - Mar 2016
        638,659 members",9.06
5,"Shingeki no Kyojin Season 3 Part 2
        TV (10 eps)
        Apr 2019 - Jul 2019
        2,314,932 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",9.05
6,"Gintama: The Final
        Movie (1 eps)
        Jan 2021 - Jan 2021
        154,251 members",9.04
7,"Gintama'
        TV (51 eps)
        Apr 2011 - Mar 2012
        563,258 members",9.03
8,"Hunter x Hunter (2011)
        TV (148 eps)
        Oct 2011 - Sep 2014
        2,875,172 members",9.03
9,"Ginga Eiyuu Densetsu
        OVA (110 eps)
        Jan 1988 - Mar 1997
        326,703 members",9.02
10,"Gintama': Enchousen
        TV (13 eps)
        Oct 2012 - Mar 2013
        329,043 members",9.02
11,"Bleach: Sennen Kessen-hen
        TV (13 eps)
        Oct 2022 - Dec 2022
        559,398 members",9.01
12,"Kaguya-sama wa Kokurasetai: Ultra Romantic
        TV (13 eps)
        Apr 2022 - Jun 2022
        951,395 members",9.00
13,"Monogatari Series: Off & Monster Season
        ONA (? eps)
        Jul 2024 - 
        53,269 members",8.98
14,"Gintama.
        TV (12 eps)
        Jan 2017 - Mar 2017
        318,579 members",8.98
15,"Fruits Basket: The Final
        TV (13 eps)
        Apr 2021 - Jun 2021
        488,940 members
      

 Manga Store
Volume 1
$9.99 Preview",8.97
16,"Clannad: After Story
        TV (24 eps)
        Oct 2008 - Mar 2009
        1,204,636 members",8.93
17,"Gintama
        TV (201 eps)
        Apr 2006 - Mar 2010
        1,075,281 members",8.93
18,"Koe no Katachi
        Movie (1 eps)
        Sep 2016 - Sep 2016
        2,364,132 members
      

 Manga Store
Volume 1
$10.99 Preview",8.93
19,"3-gatsu no Lion 2nd Season
        TV (22 eps)
        Oct 2017 - Mar 2018
        406,571 members",8.92
20,"Code Geass: Hangyaku no Lelouch R2
        TV (25 eps)
        Apr 2008 - Sep 2008
        1,801,585 members",8.91
21,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
        Movie (1 eps)
        Jul 2013 - Jul 2013
        243,257 members",8.90
22,"Kusuriya no Hitorigoto
        TV (24 eps)
        Oct 2023 - Mar 2024
        441,189 members",8.90
23,"Shingeki no Kyojin: The Final Season - Kanketsu-hen
        TV Special (2 eps)
        Mar 2023 - Nov 2023
        673,119 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.89
24,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
        TV (14 eps)
        Jul 2018 - Oct 2018
        201,904 members",8.88
25,"Monster
        TV (74 eps)
        Apr 2004 - Sep 2005
        1,145,135 members",8.88
26,"Owarimonogatari 2nd Season
        TV Special (7 eps)
        Aug 2017 - Aug 2017
        404,188 members",8.87
27,"Violet Evergarden Movie
        Movie (1 eps)
        Sep 2020 - Sep 2020
        625,102 members",8.86
28,"Kimi no Na wa.
        Movie (1 eps)
        Aug 2016 - Aug 2016
        2,777,321 members
      

 Manga Store
Volume 1
$6.99 Preview",8.84
29,"Kingdom 3rd Season
        TV (26 eps)
        Apr 2020 - Oct 2021
        106,483 members",8.82
30,"Boku no Kokoro no Yabai Yatsu 2nd Season
        TV (13 eps)
        Jan 2024 - Mar 2024
        195,703 members",8.82
31,"Gintama.: Shirogane no Tamashii-hen
        TV (12 eps)
        Jan 2018 - Mar 2018
        215,772 members",8.81
32,"Vinland Saga Season 2
        TV (24 eps)
        Jan 2023 - Jun 2023
        638,839 members
      

 Manga Store
Volume 1
$17.99 Preview",8.81
33,"Jujutsu Kaisen 2nd Season
        TV (23 eps)
        Jul 2023 - Dec 2023
        995,288 members",8.81
34,"Mob Psycho 100 II
        TV (13 eps)
        Jan 2019 - Apr 2019
        1,555,840 members",8.79
35,"Kizumonogatari III: Reiketsu-hen
        Movie (1 eps)
        Jan 2017 - Jan 2017
        468,796 members
      

 Manga Store
Part1
$9.99  Preview",8.78
36,"Bocchi the Rock!
        TV (12 eps)
        Oct 2022 - Dec 2022
        597,675 members",8.78
37,"Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
        TV (10 eps)
        Oct 2016 - Dec 2016
        1,221,271 members",8.78
38,"Shingeki no Kyojin: The Final Season
        TV (16 eps)
        Dec 2020 - Mar 2021
        2,033,061 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.78
39,"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai
        Movie (1 eps)
        Dec 2022 - Dec 2022
        278,682 members",8.77
40,"Sen to Chihiro no Kamikakushi
        Movie (1 eps)
        Jul 2001 - Jul 2001
        1,877,322 members",8.77
41,"Hajime no Ippo
        TV (75 eps)
        Oct 2000 - Mar 2002
        605,466 members",8.77
42,"Shingeki no Kyojin: The Final Season Part 2
        TV (12 eps)
        Jan 2022 - Apr 2022
        1,324,292 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.76
43,"Vinland Saga
        TV (24 eps)
        Jul 2019 - Dec 2019
        1,551,269 members
      

 Manga Store
Volume 1
$17.99 Preview",8.76
44,"Monogatari Series: Second Season
        TV (26 eps)
        Jul 2013 - Dec 2013
        676,205 members
      

 Manga Store
Volume 1
$9.99  Preview",8.76
45,"Cowboy Bebop
        TV (26 eps)
        Apr 1998 - Apr 1999
        1,889,172 members",8.75
46,"Hibike! Euphonium 3
        TV (13 eps)
        Apr 2024 - Jun 2024
        68,536 members
      

 Manga Store
Volume 1
$7.99  Preview",8.75
47,"The First Slam Dunk
        Movie (1 eps)
        Dec 2022 - Dec 2022
        48,060 members",8.75
48,"Kimetsu no Yaiba: Yuukaku-hen
        TV (11 eps)
        Dec 2021 - Feb 2022
        1,472,472 members",8.74
49,"Kingdom 4th Season
        TV (26 eps)
        Apr 2022 - Oct 2022
        67,122 members",8.74
50,"Kingdom 5th Season
        TV (13 eps)
        Jan 2024 - Mar 2024
        38,059 members",8.73
51,"Shiguang Dailiren
        ONA (11 eps)
        Apr 2021 - Jul 2021
        378,564 members",8.73
52,"Ashita no Joe 2
        TV (47 eps)
        Oct 1980 - Aug 1981
        53,774 members",8.73
53,"Mushishi Zoku Shou 2nd Season
        TV (10 eps)
        Oct 2014 - Dec 2014
        270,188 members
      

 Manga Store
Volume 1
$10.99 Preview",8.72
54,"One Piece
        TV (? eps)
        Oct 1999 - 
        2,395,723 members",8.72
55,"Mob Psycho 100 III
        TV (12 eps)
        Oct 2022 - Dec 2022
        700,370 members",8.71
56,"86 Part 2
        TV (12 eps)
        Oct 2021 - Mar 2022
        515,720 members
      

 Manga Store
Volume 1
$7.99  Preview",8.71
57,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
        TV (12 eps)
        Jan 2017 - Mar 2017
        189,381 members
      

 Manga Store
Volume 1
$12.99 Preview",8.71
58,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen
        OVA (4 eps)
        Feb 1999 - Sep 1999
        278,799 members",8.70
59,"Code Geass: Hangyaku no Lelouch
        TV (25 eps)
        Oct 2006 - Jul 2007
        2,276,260 members",8.70
60,"Bleach: Sennen Kessen-hen - Ketsubetsu-tan
        TV (13 eps)
        Jul 2023 - Sep 2023
        286,594 members",8.69
61,"Great Teacher Onizuka
        TV (43 eps)
        Jun 1999 - Sep 2000
        839,879 members
      

 Manga Store
Volume 1
$10.99 Preview",8.69
62,"Mushishi Zoku Shou
        TV (10 eps)
        Apr 2014 - Jun 2014
        303,756 members
      

 Manga Store
Volume 1
$10.99 Preview",8.69
63,"Mo Dao Zu Shi: Wanjie Pian
        ONA (12 eps)
        Aug 2021 - Oct 2021
        82,196 members",8.68
64,"Violet Evergarden
        TV (13 eps)
        Jan 2018 - Apr 2018
        1,807,803 members",8.68
65,"Tian Guan Cifu Er
        ONA (12 eps)
        Oct 2023 - Jan 2024
        46,764 members",8.67
66,"Haikyuu!! Movie: Gomisuteba no Kessen
        Movie (1 eps)
        Feb 2024 - Feb 2024
        130,820 members",8.67
67,"Hajime no Ippo: New Challenger
        TV (26 eps)
        Jan 2009 - Jul 2009
        291,534 members",8.67
68,"Fate/stay night Movie: Heaven's Feel - III. Spring Song
        Movie (1 eps)
        Aug 2020 - Aug 2020
        357,835 members",8.66
69,"Howl no Ugoku Shiro
        Movie (1 eps)
        Nov 2004 - Nov 2004
        1,358,965 members",8.66
70,"Mononoke Hime
        Movie (1 eps)
        Jul 1997 - Jul 1997
        1,272,483 members",8.66
71,"Mushishi
        TV (26 eps)
        Oct 2005 - Jun 2006
        839,634 members
      

 Manga Store
Volume 1
$10.99 Preview",8.66
72,"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
        TV (12 eps)
        Oct 2021 - Dec 2021
        949,922 members",8.66
73,"Odd Taxi
        TV (13 eps)
        Apr 2021 - Jun 2021
        442,056 members",8.66
74,"Made in Abyss
        TV (13 eps)
        Jul 2017 - Sep 2017
        1,401,572 members",8.64
75,"Natsume Yuujinchou Shi
        TV (13 eps)
        Jan 2012 - Mar 2012
        247,908 members",8.64
76,"Bungou Stray Dogs 5th Season
        TV (11 eps)
        Jul 2023 - Sep 2023
        191,760 members
      

 Manga Store
Volume 1
$6.99 Preview",8.64
77,"Shigatsu wa Kimi no Uso
        TV (22 eps)
        Oct 2014 - Mar 2015
        2,237,946 members
      

 Manga Store
Volume 1
$10.99 Preview",8.64
78,"Shiguang Dailiren II
        ONA (12 eps)
        Jul 2023 - Sep 2023
        116,703 members",8.63
79,"Shingeki no Kyojin Season 3
        TV (12 eps)
        Jul 2018 - Oct 2018
        2,402,494 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.63
80,"Tengen Toppa Gurren Lagann
        TV (27 eps)
        Apr 2007 - Sep 2007
        1,628,473 members",8.63
81,"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
        TV (12 eps)
        Apr 2020 - Jun 2020
        1,361,226 members",8.63
82,"Made in Abyss: Retsujitsu no Ougonkyou
        TV (12 eps)
        Jul 2022 - Sep 2022
        456,331 members",8.63
83,"""Oshi no Ko""
        TV (11 eps)
        Apr 2023 - Jun 2023
        825,281 members",8.63
84,"Death Note
        TV (37 eps)
        Oct 2006 - Jun 2007
        3,947,496 members",8.62
85,"Haikyuu!! Second Season
        TV (25 eps)
        Oct 2015 - Mar 2016
        1,449,521 members",8.62
86,"Ping Pong the Animation
        TV (11 eps)
        Apr 2014 - Jun 2014
        399,286 members",8.62
87,"Made in Abyss Movie 3: Fukaki Tamashii no Reimei
        Movie (1 eps)
        Jan 2020 - Jan 2020
        472,523 members",8.61
88,"Natsume Yuujinchou Roku
        TV (11 eps)
        Apr 2017 - Jun 2017
        188,648 members",8.61
89,"Dungeon Meshi
        TV (24 eps)
        Jan 2024 - Jun 2024
        324,146 members
      

 Manga Store
Volume 1
$6.99 Preview",8.61
90,"Cyberpunk: Edgerunners
        ONA (10 eps)
        Sep 2022 - Sep 2022
        780,531 members",8.60
91,"Hajime no Ippo: Rising
        TV (25 eps)
        Oct 2013 - Mar 2014
        264,835 members",8.60
92,"Suzumiya Haruhi no Shoushitsu
        Movie (1 eps)
        Feb 2010 - Feb 2010
        615,153 members
      

 Manga Store
The Melancholy of Haruhi Suzumiya (light novel)
$9.99  Preview",8.60
93,"Shin Evangelion Movie:||
        Movie (1 eps)
        Mar 2021 - Mar 2021
        381,020 members",8.59
94,"Jujutsu Kaisen
        TV (24 eps)
        Oct 2020 - Mar 2021
        2,606,710 members",8.59
95,"Kenpuu Denki Berserk
        TV (25 eps)
        Oct 1997 - Apr 1998
        673,467 members",8.59
96,"Mushishi Zoku Shou: Suzu no Shizuku
        Movie (1 eps)
        May 2015 - May 2015
        130,434 members
      

 Manga Store
Volume 1
$10.99 Preview",8.59
97,"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
        Movie (1 eps)
        Jun 2019 - Jun 2019
        722,826 members
      

 Manga Store
Volume 1
$7.99  Preview",8.59
98,"Kimetsu no Yaiba Movie: Mugen Ressha-hen
        Movie (1 eps)
        Oct 2020 - Oct 2020
        1,573,765 members",8.58
99,"Tengen Toppa Gurren Lagann Movie 2: Lagann-hen
        Movie (1 eps)
        Apr 2009 - Apr 2009
        219,713 members",8.58
100,"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
        TV (39 eps)
        Oct 2018 - Jul 2019
        1,041,648 members",8.57
101,"Kizumonogatari II: Nekketsu-hen
        Movie (1 eps)
        Aug 2016 - Aug 2016
        451,144 members
      

 Manga Store
Part1
$9.99  Preview",8.57
102,"Natsume Yuujinchou San
        TV (13 eps)
        Jul 2011 - Sep 2011
        255,239 members",8.57
103,"Ookami Kodomo no Ame to Yuki
        Movie (1 eps)
        Jul 2012 - Jul 2012
        821,005 members
      

 Manga Store
Volume 1
$12.99 Preview",8.57
104,"Nana
        TV (47 eps)
        Apr 2006 - Mar 2007
        683,912 members",8.56
105,"Natsume Yuujinchou Go
        TV (11 eps)
        Oct 2016 - Dec 2016
        188,974 members",8.56
106,"Doupo Cangqiong: San Nian Zhi Yue
        ONA (13 eps)
        Oct 2021 - Jan 2022
        7,652 members",8.56
107,"Shouwa Genroku Rakugo Shinjuu
        TV (13 eps)
        Jan 2016 - Apr 2016
        294,301 members
      

 Manga Store
Volume 1
$12.99 Preview",8.56
108,"Shingeki no Kyojin
        TV (25 eps)
        Apr 2013 - Sep 2013
        3,993,780 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.55
109,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni
        Movie (1 eps)
        Jul 1997 - Jul 1997
        945,443 members",8.55
110,"Yojouhan Shinwa Taikei
        TV (11 eps)
        Apr 2010 - Jul 2010
        456,569 members",8.55
111,"JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3
        ONA (14 eps)
        Dec 2022 - Dec 2022
        213,526 members",8.55
112,"Kimi no Suizou wo Tabetai
        Movie (1 eps)
        Sep 2018 - Sep 2018
        984,419 members",8.55
113,"Haikyuu!! To the Top Part 2
        TV (12 eps)
        Oct 2020 - Dec 2020
        832,571 members",8.55
114,"Fate/Zero 2nd Season
        TV (12 eps)
        Apr 2012 - Jun 2012
        1,126,711 members",8.54
115,"Fruits Basket 2nd Season
        TV (25 eps)
        Apr 2020 - Sep 2020
        521,369 members
      

 Manga Store
Volume 1
$9.99 Preview",8.54
116,"Slam Dunk
        TV (101 eps)
        Oct 1993 - Mar 1996
        305,634 members",8.54
117,"Zoku Natsume Yuujinchou
        TV (13 eps)
        Jan 2009 - Mar 2009
        250,560 members",8.54
118,"Perfect Blue
        Movie (1 eps)
        Feb 1998 - Feb 1998
        723,536 members",8.54
119,"Mushishi: Hihamukage
        TV Special (1 eps)
        Jan 2014 - Jan 2014
        141,508 members",8.53
120,"Steins;Gate 0
        TV (23 eps)
        Apr 2018 - Sep 2018
        881,523 members",8.53
121,"Shingeki no Kyojin Season 2
        TV (12 eps)
        Apr 2017 - Jun 2017
        2,755,801 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.52
122,"Shoujo☆Kageki Revue Starlight Movie
        Movie (1 eps)
        Jun 2021 - Jun 2021
        20,575 members",8.52
123,"Yuru Camp△ Season 2
        TV (13 eps)
        Jan 2021 - Apr 2021
        229,611 members
      

 Manga Store
Volume 1
$6.99 Preview",8.52
124,"Bakuman. 3rd Season
        TV (25 eps)
        Oct 2012 - Mar 2013
        332,608 members",8.52
125,"Gintama Movie 1: Shinyaku Benizakura-hen
        Movie (1 eps)
        Apr 2010 - Apr 2010
        166,083 members",8.52
126,"Gintama.: Porori-hen
        TV (13 eps)
        Oct 2017 - Dec 2017
        204,363 members",8.52
127,"Hotaru no Haka
        Movie (1 eps)
        Apr 1988 - Apr 1988
        686,262 members",8.52
128,"Koukaku Kidoutai: Stand Alone Complex 2nd GIG
        TV (26 eps)
        Jan 2004 - Jan 2005
        229,230 members",8.52
129,"Kara no Kyoukai Movie 5: Mujun Rasen
        Movie (1 eps)
        Aug 2008 - Aug 2008
        240,949 members",8.51
130,"Ousama Ranking
        TV (23 eps)
        Oct 2021 - Mar 2022
        658,005 members",8.51
131,"Samurai Champloo
        TV (26 eps)
        May 2004 - Mar 2005
        1,253,117 members",8.51
132,"Sora yori mo Tooi Basho
        TV (13 eps)
        Jan 2018 - Mar 2018
        510,656 members",8.51
133,"Spy x Family
        TV (12 eps)
        Apr 2022 - Jun 2022
        1,597,952 members",8.51
134,"Tian Guan Cifu Special
        ONA (1 eps)
        Feb 2021 - Feb 2021
        50,614 members",8.50
135,"JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
        TV (39 eps)
        Apr 2016 - Dec 2016
        1,140,556 members",8.50
136,"Mob Psycho 100
        TV (12 eps)
        Jul 2016 - Sep 2016
        2,105,082 members",8.49
137,"One Punch Man
        TV (12 eps)
        Oct 2015 - Dec 2015
        3,256,574 members",8.49
138,"Yakusoku no Neverland
        TV (12 eps)
        Jan 2019 - Mar 2019
        1,991,841 members",8.49
139,"Chainsaw Man
        TV (12 eps)
        Oct 2022 - Dec 2022
        1,565,640 members",8.49
140,"Ansatsu Kyoushitsu 2nd Season
        TV (25 eps)
        Jan 2016 - Jul 2016
        1,451,241 members",8.48
141,"Aria the Origination
        TV (13 eps)
        Jan 2008 - Apr 2008
        131,108 members",8.48
142,"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly
        Movie (1 eps)
        Jan 2019 - Jan 2019
        394,709 members",8.48
143,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
        Movie (1 eps)
        Oct 2013 - Oct 2013
        385,029 members
      

 Manga Store
Volume 1
$6.99 Preview",8.48
144,"Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2
        TV (12 eps)
        Apr 2024 - Jul 2024
        368,522 members",8.48
145,"Pluto
        ONA (8 eps)
        Oct 2023 - Oct 2023
        170,179 members",8.48
146,"Summertime Render
        TV (25 eps)
        Apr 2022 - Sep 2022
        546,178 members",8.48
147,"Uchuu Kyoudai
        TV (99 eps)
        Apr 2012 - Mar 2014
        196,566 members
      

 Manga Store
Volume 1
$10.99 Preview",8.48
148,"Banana Fish
        TV (24 eps)
        Jul 2018 - Dec 2018
        877,629 members",8.47
149,"Rainbow: Nisha Rokubou no Shichinin
        TV (26 eps)
        Apr 2010 - Sep 2010
        399,768 members",8.47
150,"Kimetsu no Yaiba
        TV (26 eps)
        Apr 2019 - Sep 2019
        3,084,002 members",8.46
151,"Mo Dao Zu Shi
        ONA (15 eps)
        Jul 2018 - Oct 2018
        234,144 members",8.46
152,"Mo Dao Zu Shi: Xian Yun Pian
        ONA (8 eps)
        Aug 2019 - Sep 2019
        107,378 members",8.46
153,"Nichijou
        TV (26 eps)
        Apr 2011 - Sep 2011
        908,195 members",8.46
154,"Yuu☆Yuu☆Hakusho
        TV (112 eps)
        Oct 1992 - Jan 1995
        698,496 members",8.46
155,"Chihayafuru 3
        TV (24 eps)
        Oct 2019 - Mar 2020
        143,510 members
      

 Manga Store
Volume 1
$10.99 Preview",8.46
156,"Gintama: The Semi-Final
        Special (2 eps)
        Jan 2021 - Jan 2021
        79,394 members",8.46
157,"Girls Band Cry
        TV (13 eps)
        Apr 2024 - Jun 2024
        69,418 members",8.45
158,"Karakai Jouzu no Takagi-san Movie
        Movie (1 eps)
        Jun 2022 - Jun 2022
        77,186 members
      

 Manga Store
Volume 1
$6.99 Preview",8.45
159,"Owarimonogatari
        TV (12 eps)
        Oct 2015 - Dec 2015
        482,669 members",8.45
160,"Steins;Gate Movie: Fuka Ryouiki no Déjà vu
        Movie (1 eps)
        Apr 2013 - Apr 2013
        600,528 members",8.45
161,"Zoku Owarimonogatari
        TV (6 eps)
        May 2019 - Jun 2019
        230,482 members",8.44
162,"Bungou Stray Dogs 4th Season
        TV (13 eps)
        Jan 2023 - Mar 2023
        298,155 members
      

 Manga Store
Volume 1
$6.99 Preview",8.44
163,"Golden Kamuy 3rd Season
        TV (12 eps)
        Oct 2020 - Dec 2020
        173,117 members",8.44
164,"Haikyuu!!
        TV (25 eps)
        Apr 2014 - Sep 2014
        1,998,072 members",8.44
165,"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
        TV (24 eps)
        Jan 2015 - Jun 2015
        1,130,029 members",8.44
166,"Jujutsu Kaisen 0 Movie
        Movie (1 eps)
        Dec 2021 - Dec 2021
        992,509 members",8.44
