Rank,Title,Score
167,"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu
        Movie (1 eps)
        Aug 2019 - Aug 2019
        799,461 members
      

 Manga Store
Volume 1
$7.99  Preview",8.43
168,"Mushishi Zoku Shou: Odoro no Michi
        TV Special (1 eps)
        Aug 2014 - Aug 2014
        102,709 members
      

 Manga Store
Volume 1
$10.99 Preview",8.43
169,"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
        TV (12 eps)
        Jan 2021 - Mar 2021
        905,096 members
      

 Manga Store
Volume 1
$7.99  Preview",8.43
170,"Wu Liuqi: Xuanwu Guo Pian
        ONA (10 eps)
        Jan 2021 - May 2021
        65,544 members",8.43
171,"Grand Blue
        TV (12 eps)
        Jul 2018 - Sep 2018
        791,915 members
      

 Manga Store
Volume 1
$10.99 Preview",8.43
172,"Gintama: Yorinuki Gintama-san on Theater 2D
        Movie (2 eps)
        Aug 2012 - Aug 2012
        44,894 members",8.42
173,"Hunter x Hunter
        TV (62 eps)
        Oct 1999 - Mar 2001
        598,896 members",8.42
174,"Kono Oto Tomare! Part 2
        TV (13 eps)
        Oct 2019 - Dec 2019
        181,220 members",8.42
175,"Koukaku Kidoutai: Stand Alone Complex
        TV (26 eps)
        Oct 2002 - Oct 2003
        400,544 members
      

 Manga Store
Volume 1
$10.99 Preview",8.42
176,"Mononoke
        TV (12 eps)
        Jul 2007 - Sep 2007
        333,484 members",8.42
177,"Saenai Heroine no Sodatekata Fine
        Movie (1 eps)
        Oct 2019 - Oct 2019
        186,337 members",8.42
178,"Shingeki no Kyojin: Kuinaki Sentaku
        OVA (2 eps)
        Dec 2014 - Apr 2015
        524,201 members
      

 Manga Store
Volume 1
$10.99 Preview",8.42
179,"Tian Guan Cifu
        ONA (11 eps)
        Oct 2020 - Jan 2021
        150,313 members",8.42
180,"Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou
        Movie (1 eps)
        Sep 2019 - Sep 2019
        431,057 members",8.41
181,"Kono Subarashii Sekai ni Shukufuku wo! 3
        TV (11 eps)
        Apr 2024 - Jun 2024
        407,772 members
      

 Manga Store
Volume 1
$7.99  Preview",8.41
182,"Natsume Yuujinchou Movie: Utsusemi ni Musubu
        Movie (1 eps)
        Sep 2018 - Sep 2018
        74,024 members",8.41
183,"Saiki Kusuo no Ψ-nan
        TV (120 eps)
        Jul 2016 - Dec 2016
        1,121,532 members",8.41
184,"Saiki Kusuo no Ψ-nan 2
        TV (24 eps)
        Jan 2018 - Jun 2018
        651,988 members",8.41
185,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
        TV (12 eps)
        Jan 2019 - Mar 2019
        1,762,530 members",8.40
186,"Kamisama Hajimemashita: Kako-hen
        OVA (4 eps)
        Aug 2015 - Aug 2016
        170,357 members",8.40
187,"Karakai Jouzu no Takagi-san 3
        TV (12 eps)
        Jan 2022 - Mar 2022
        189,951 members
      

 Manga Store
Volume 1
$6.99 Preview",8.40
188,"Yuru Camp△ Movie
        Movie (1 eps)
        Jul 2022 - Jul 2022
        82,166 members",8.40
189,"Vivy: Fluorite Eye's Song
        TV (13 eps)
        Apr 2021 - Jun 2021
        545,879 members",8.39
190,"Fruits Basket: Prelude
        Movie (1 eps)
        Feb 2022 - Feb 2022
        110,718 members
      

 Manga Store
Volume 1
$9.99 Preview",8.39
191,"Gintama°: Aizome Kaori-hen
        OVA (2 eps)
        Aug 2016 - Nov 2016
        86,761 members",8.39
192,"Houseki no Kuni
        TV (12 eps)
        Oct 2017 - Dec 2017
        468,891 members
      

 Manga Store
Volume 1
$12.99 Preview",8.39
193,"Josee to Tora to Sakana-tachi
        Movie (1 eps)
        Dec 2020 - Dec 2020
        439,230 members",8.39
194,"Major S5
        TV (25 eps)
        Jan 2009 - Jun 2009
        71,759 members",8.39
195,"Natsume Yuujinchou Roku Specials
        Special (2 eps)
        Sep 2017 - Oct 2017
        48,104 members",8.39
196,"Sayonara no Asa ni Yakusoku no Hana wo Kazarou
        Movie (1 eps)
        Feb 2018 - Feb 2018
        440,755 members",8.39
197,"Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go)
        Movie (1 eps)
        Aug 2009 - Aug 2009
        208,951 members",8.38
198,"Kaze ga Tsuyoku Fuiteiru
        TV (23 eps)
        Oct 2018 - Mar 2019
        305,202 members",8.38
199,"Chihayafuru 2
        TV (25 eps)
        Jan 2013 - Jun 2013
        238,187 members
      

 Manga Store
Volume 1
$10.99 Preview",8.38
200,"Cowboy Bebop: Tengoku no Tobira
        Movie (1 eps)
        Sep 2001 - Sep 2001
        382,823 members",8.38
201,"Doupo Cangqiong: Nian Fan
        ONA (157 eps)
        Jul 2022 - 
        7,573 members",8.38
202,"""Oshi no Ko"" 2nd Season
        TV (13 eps)
        Jul 2024 - 
        278,964 members",8.37
203,"3-gatsu no Lion
        TV (22 eps)
        Oct 2016 - Mar 2017
        685,318 members",8.37
204,"Barakamon
        TV (12 eps)
        Jul 2014 - Sep 2014
        669,730 members
      

 Manga Store
Volume 1
$6.99 Preview",8.37
205,"Blue Giant
        Movie (1 eps)
        Feb 2023 - Feb 2023
        28,270 members",8.37
206,"Cross Game
        TV (50 eps)
        Apr 2009 - Mar 2010
        125,673 members",8.37
207,"Tensei shitara Slime Datta Ken 2nd Season
        TV (12 eps)
        Jan 2021 - Mar 2021
        979,858 members
      

 Manga Store
Volume 1
$12.99 Preview",8.37
208,"Made in Abyss Movie 2: Hourou Suru Tasogare
        Movie (1 eps)
        Jan 2019 - Jan 2019
        141,701 members",8.37
209,"Mahou Shoujo Madoka★Magica
        TV (12 eps)
        Jan 2011 - Apr 2011
        1,304,082 members
      

 Manga Store
Volume 1
$6.99 Preview",8.37
210,"Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari
        Movie (1 eps)
        Oct 2012 - Oct 2012
        205,671 members",8.37
211,"Mushoku Tensei: Isekai Ittara Honki Dasu
        TV (11 eps)
        Jan 2021 - Mar 2021
        1,355,634 members",8.37
212,"Kimetsu no Yaiba: Mugen Ressha-hen
        TV (7 eps)
        Oct 2021 - Nov 2021
        787,280 members",8.36
213,"Kizumonogatari I: Tekketsu-hen
        Movie (1 eps)
        Jan 2016 - Jan 2016
        536,923 members
      

 Manga Store
Part1
$9.99  Preview",8.36
214,"Meitantei Conan Movie 26: Kurogane no Submarine
        Movie (1 eps)
        Apr 2023 - Apr 2023
        13,038 members",8.36
215,"Non Non Biyori Nonstop
        TV (12 eps)
        Jan 2021 - Mar 2021
        126,930 members",8.36
216,"Ramayana: The Legend of Prince Rama
        Movie (1 eps)
        Jan 1993 - Jan 1993
        11,681 members",8.36
217,"Baccano!
        TV (13 eps)
        Jul 2007 - Nov 2007
        912,333 members
      

 Manga Store
Volume 1
$9.99  Preview",8.36
218,"Haikyuu!! To the Top
        TV (13 eps)
        Jan 2020 - Apr 2020
        954,659 members",8.36
219,"Gintama: Shiroyasha Koutan
        Special (1 eps)
        Sep 2008 - Sep 2008
        70,954 members",8.35
220,"Hellsing Ultimate
        OVA (10 eps)
        Feb 2006 - Dec 2012
        941,504 members",8.35
221,"Initial D First Stage
        TV (26 eps)
        Apr 1998 - Dec 1998
        390,821 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.35
222,"K-On! Movie
        Movie (1 eps)
        Dec 2011 - Dec 2011
        334,561 members
      

 Manga Store
Volume 1
$6.99 Preview",8.35
223,"Kage no Jitsuryokusha ni Naritakute! 2nd Season
        TV (12 eps)
        Oct 2023 - Dec 2023
        375,483 members
      

 Manga Store
Volume 1
$9.99  Preview",8.35
224,"Kaze no Tani no Nausicaä
        Movie (1 eps)
        Mar 1984 - Mar 1984
        382,853 members",8.35
225,"Shinseiki Evangelion
        TV (26 eps)
        Oct 1995 - Mar 1996
        1,842,463 members",8.35
226,"Wu Shan Wu Xing: Xichuan Huan Zi Lin
        ONA (4 eps)
        Jul 2023 - Aug 2023
        12,907 members",8.35
227,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
        TV (12 eps)
        Jul 2020 - Sep 2020
        740,783 members
      

 Manga Store
Volume 1
$7.99  Preview",8.35
228,"Tunshi Xingkong 3rd Season
        ONA (33 eps)
        Sep 2022 - Apr 2023
        2,253 members",8.34
229,"Usagi Drop
        TV (11 eps)
        Jul 2011 - Sep 2011
        499,970 members",8.34
230,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou
        Special (1 eps)
        Jul 2018 - Jul 2018
        337,514 members",8.34
231,"Bakuman. 2nd Season
        TV (25 eps)
        Oct 2011 - Mar 2012
        356,260 members",8.34
232,"Fumetsu no Anata e
        TV (20 eps)
        Apr 2021 - Aug 2021
        883,078 members
      

 Manga Store
Volume 1
$10.99 Preview",8.34
233,"Girls & Panzer: Saishuushou Part 4
        Movie (1 eps)
        Oct 2023 - Oct 2023
        17,607 members",8.34
234,"Kaijuu 8-gou
        TV (12 eps)
        Apr 2024 - Jun 2024
        402,483 members",8.34
235,"Kidou Senshi Gundam: The Origin
        OVA (6 eps)
        Feb 2015 - May 2018
        75,381 members",8.33
236,"Kiseijuu: Sei no Kakuritsu
        TV (24 eps)
        Oct 2014 - Mar 2015
        1,892,809 members
      

 Manga Store
Volume 1
$10.99 Preview",8.33
237,"Natsume Yuujinchou: Itsuka Yuki no Hi ni
        OVA (1 eps)
        Feb 2014 - Feb 2014
        81,031 members",8.33
238,"One Outs
        TV (25 eps)
        Oct 2008 - Apr 2009
        241,427 members",8.33
239,"Psycho-Pass
        TV (22 eps)
        Oct 2012 - Mar 2013
        1,647,815 members",8.33
240,"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
        TV (13 eps)
        Jul 2020 - Sep 2020
        1,122,663 members
      

 Manga Store
Volume 1
$7.99  Preview",8.33
241,"Versailles no Bara
        TV (40 eps)
        Oct 1979 - Sep 1980
        100,648 members",8.33
242,"Dr. Stone: New World Part 2
        TV (11 eps)
        Oct 2023 - Dec 2023
        287,694 members",8.33
243,"Hibike! Euphonium 2
        TV (13 eps)
        Oct 2016 - Dec 2016
        236,413 members
      

 Manga Store
Volume 1
$7.99  Preview",8.33
244,"IDOLiSH7 Third Beat! Part 2
        TV (17 eps)
        Oct 2022 - Feb 2023
        14,687 members",8.33
245,"Bakemonogatari
        TV (15 eps)
        Jul 2009 - Jun 2010
        1,411,383 members
      

 Manga Store
Part1
$9.99  Preview",8.32
246,"Douluo Dalu 2nd Season
        ONA (237 eps)
        Dec 2018 - Jun 2023
        20,648 members",8.32
247,"Fate/stay night: Unlimited Blade Works 2nd Season
        TV (13 eps)
        Apr 2015 - Jun 2015
        861,935 members",8.32
248,"Major S6
        TV (25 eps)
        Apr 2010 - Sep 2010
        63,594 members",8.32
249,"Natsume Yuujinchou Go Specials
        Special (2 eps)
        Mar 2017 - Apr 2017
        47,037 members",8.32
250,"Romeo no Aoi Sora
        TV (33 eps)
        Jan 1995 - Dec 1995
        51,034 members",8.32
251,"Tensei shitara Slime Datta Ken 2nd Season Part 2
        TV (12 eps)
        Jul 2021 - Sep 2021
        783,458 members
      

 Manga Store
Volume 1
$12.99 Preview",8.32
252,"Uchuu Senkan Yamato 2199
        OVA (26 eps)
        May 2012 - Oct 2013
        116,716 members",8.32
253,"Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu
        Movie (12 eps)
        Mar 2022 - May 2022
        21,825 members",8.31
254,"Given
        TV (11 eps)
        Jul 2019 - Sep 2019
        580,287 members",8.31
255,"Hunter x Hunter: Original Video Animation
        OVA (8 eps)
        Jan 2002 - Apr 2002
        128,372 members",8.31
256,"Kingdom 2nd Season
        TV (39 eps)
        Jun 2013 - Mar 2014
        129,611 members",8.31
257,"Natsume Yuujinchou
        TV (13 eps)
        Jul 2008 - Sep 2008
        546,001 members",8.31
258,"NHK ni Youkoso!
        TV (24 eps)
        Jul 2006 - Dec 2006
        755,129 members",8.31
259,"Ookami to Koushinryou II
        TV (12 eps)
        Jul 2009 - Sep 2009
        498,724 members
      

 Manga Store
Volume 1
$3.99  Preview",8.31
260,"Sasaki to Miyano Movie: Sotsugyou-hen
        Movie (1 eps)
        Feb 2023 - Feb 2023
        45,467 members
      

 Manga Store
Volume 1
$6.99 Preview",8.31
261,"Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai
        Movie (1 eps)
        Dec 2023 - Dec 2023
        91,062 members
      

 Manga Store
Volume 1
$7.99  Preview",8.31
262,"Katanagatari
        TV (12 eps)
        Jan 2010 - Dec 2010
        566,360 members
      

 Manga Store
Part1
$9.99  Preview",8.30
263,"Kemono no Souja Erin
        TV (50 eps)
        Jan 2009 - Dec 2009
        87,607 members",8.30
264,"Luo Xiao Hei Zhan Ji (Movie)
        Movie (1 eps)
        Sep 2019 - Sep 2019
        27,421 members",8.30
265,"Ore dake Level Up na Ken
        TV (12 eps)
        Jan 2024 - Mar 2024
        705,426 members",8.30
266,"Sakamichi no Apollon
        TV (12 eps)
        Apr 2012 - Jun 2012
        389,796 members",8.30
267,"Violet Evergarden: Recollections
        Special (1 eps)
        Oct 2021 - Oct 2021
        33,052 members",8.30
268,"86
        TV (11 eps)
        Apr 2021 - Jun 2021
        796,999 members
      

 Manga Store
Volume 1
$7.99  Preview",8.30
269,"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
        TV (11 eps)
        Apr 2011 - Jun 2011
        1,619,220 members",8.30
270,"Ashita no Joe
        TV (79 eps)
        Apr 1970 - Sep 1971
        94,688 members",8.30
271,"Boku dake ga Inai Machi
        TV (12 eps)
        Jan 2016 - Mar 2016
        2,118,186 members
      

 Manga Store
Volume 1
$6.99 Preview",8.30
272,"Diamond no Ace: Second Season
        TV (51 eps)
        Apr 2015 - Mar 2016
        139,646 members
      

 Manga Store
Volume 1
$10.99 Preview",8.30
273,"Evangelion Movie 2: Ha
        Movie (1 eps)
        Jul 2009 - Jul 2009
        549,749 members",8.30
274,"Ginga Eiyuu Densetsu: Die Neue These - Sakubou
        Movie (12 eps)
        Sep 2022 - Nov 2022
        14,837 members",8.30
275,"Beck
        TV (26 eps)
        Oct 2004 - Mar 2005
        345,974 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.29
276,"Initial D Final Stage
        TV (4 eps)
        May 2014 - Jun 2014
        147,120 members
      

 Manga Store
Volume 1

                  $10.99
                

                  $5.99
                 Preview",8.29
277,"Kuroko no Basket 3rd Season
        TV (25 eps)
        Jan 2015 - Jun 2015
        771,535 members",8.29
278,"Meitantei Conan Movie 06: Baker Street no Bourei
        Movie (1 eps)
        Apr 2002 - Apr 2002
        79,186 members",8.29
279,"Steins;Gate: Oukoubakko no Poriomania
        Special (1 eps)
        Feb 2012 - Feb 2012
        443,267 members",8.29
280,"Suzume no Tojimari
        Movie (1 eps)
        Nov 2022 - Nov 2022
        373,991 members",8.29
281,"Tunshi Xingkong 2nd Season
        ONA (26 eps)
        Dec 2021 - Sep 2022
        5,983 members",8.29
282,"Tokyo Godfathers
        Movie (1 eps)
        Nov 2003 - Nov 2003
        298,238 members",8.28
283,"Yuukoku no Moriarty Part 2
        TV (13 eps)
        Apr 2021 - Jun 2021
        257,463 members",8.28
284,"Boku no Hero Academia 6th Season
        TV (25 eps)
        Oct 2022 - Mar 2023
        665,977 members",8.28
285,"Doukyuusei (Movie)
        Movie (1 eps)
        Feb 2016 - Feb 2016
        273,785 members",8.28
286,"Gintama: Shinyaku Benizakura-hen
        Special (1 eps)
        Dec 2010 - Dec 2010
        44,477 members",8.28
287,"Hotarubi no Mori e
        Movie (1 eps)
        Sep 2011 - Sep 2011
        830,582 members",8.28
288,"Kage no Jitsuryokusha ni Naritakute!
        TV (20 eps)
        Oct 2022 - Feb 2023
        666,867 members
      

 Manga Store
Volume 1
$9.99  Preview",8.28
289,"Kino no Tabi: The Beautiful World
        TV (13 eps)
        Apr 2003 - Jul 2003
        321,972 members",8.28
290,"Major: World Series
        OVA (2 eps)
        Dec 2011 - Jan 2012
        37,228 members",8.28
291,"Redline
        Movie (1 eps)
        Aug 2009 - Aug 2009
        384,050 members",8.28
292,"Rurouni Kenshin: Meiji Kenkaku Romantan
        TV (94 eps)
        Jan 1996 - Sep 1998
        499,690 members",8.28
293,"Koukaku Kidoutai
        Movie (1 eps)
        Nov 1995 - Nov 1995
        644,662 members
      

 Manga Store
Volume 1
$15.99 Preview",8.27
294,"Naruto: Shippuuden
        TV (500 eps)
        Feb 2007 - Mar 2017
        2,515,462 members",8.27
295,"Shirobako
        TV (24 eps)
        Oct 2014 - Mar 2015
        448,602 members",8.27
296,"Tenki no Ko
        Movie (1 eps)
        Jul 2019 - Jul 2019
        1,016,728 members
      

 Manga Store
Volume 1
$9.99  Preview",8.27
297,"Tsubasa: Tokyo Revelations
        OVA (3 eps)
        Nov 2007 - Mar 2008
        96,540 members
      

 Manga Store
Volume 1
$19.99 Preview",8.27
298,"Yuru Camp△
        TV (12 eps)
        Jan 2018 - Mar 2018
        499,640 members
      

 Manga Store
Volume 1
$6.99 Preview",8.27
299,"Diamond no Ace: Act II
        TV (52 eps)
        Apr 2019 - Mar 2020
        91,884 members",8.27
300,"Dr. Stone
        TV (24 eps)
        Jul 2019 - Dec 2019
        1,763,573 members",8.27
301,"Fate/Zero
        TV (13 eps)
        Oct 2011 - Dec 2011
        1,513,599 members",8.27
302,"Gin no Saji 2nd Season
        TV (11 eps)
        Jan 2014 - Mar 2014
        147,056 members
      

 Manga Store
Volume 1
$6.99 Preview",8.27
303,"Ginga Eiyuu Densetsu: Die Neue These - Seiran 3
        Movie (4 eps)
        Nov 2019 - Nov 2019
        26,764 members",8.27
304,"Gyakkyou Burai Kaiji: Ultimate Survivor
        TV (26 eps)
        Oct 2007 - Apr 2008
        358,765 members
      

 Manga Store
Volume 1
$5.99 Preview",8.26
305,"Hajime no Ippo: Champion Road
        TV Special (1 eps)
        Apr 2003 - Apr 2003
        141,033 members",8.26
306,"Nodame Cantabile
        TV (23 eps)
        Jan 2007 - Jun 2007
        317,341 members
      

 Manga Store
Volume 1
$10.99 Preview",8.26
307,"Shinsekai yori
        TV (25 eps)
        Sep 2012 - Mar 2013
        783,808 members",8.26
308,"Space☆Dandy 2nd Season
        TV (13 eps)
        Jul 2014 - Sep 2014
        169,990 members",8.26
309,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero
        Special (1 eps)
        Dec 2015 - Dec 2015
        265,388 members",8.26
310,"Tenkuu no Shiro Laputa
        Movie (1 eps)
        Aug 1986 - Aug 1986
        495,718 members",8.26
311,"Spy x Family Part 2
        TV (13 eps)
        Oct 2022 - Dec 2022
        944,598 members",8.25
312,"Stranger: Mukou Hadan
        Movie (1 eps)
        Sep 2007 - Sep 2007
        336,377 members",8.25
313,"Tonari no Totoro
        Movie (1 eps)
        Apr 1988 - Apr 1988
        1,078,345 members",8.25
314,"World Trigger 3rd Season
        TV (14 eps)
        Oct 2021 - Jan 2022
        119,931 members",8.25
315,"Blue Lock
        TV (24 eps)
        Oct 2022 - Mar 2023
        706,662 members
      

 Manga Store
Volume 1
$10.99 Preview",8.25
316,"Dororo
        TV (24 eps)
        Jan 2019 - Jun 2019
        1,244,393 members",8.25
317,"Hunter x Hunter: Greed Island Final
        OVA (14 eps)
        Mar 2004 - Aug 2004
        146,963 members",8.25
318,"Kobayashi-san Chi no Maid Dragon S
        TV (12 eps)
        Jul 2021 - Sep 2021
        562,838 members",8.25
319,"Kono Subarashii Sekai ni Shukufuku wo! 2
        TV (10 eps)
        Jan 2017 - Mar 2017
        1,535,705 members
      

 Manga Store
Volume 1
$7.99  Preview",8.25
320,"Kuroshitsuji Movie: Book of the Atlantic
        Movie (1 eps)
        Jan 2017 - Jan 2017
        204,420 members
      

 Manga Store
Volume 1
$6.99 Preview",8.25
321,"Mushoku Tensei II: Isekai Ittara Honki Dasu
        TV (12 eps)
        Jul 2023 - Sep 2023
        579,664 members",8.25
322,"Planetes
        TV (26 eps)
        Oct 2003 - Apr 2004
        256,967 members",8.25
323,"Meitantei Conan: Episode One - Chiisaku Natta Meitantei
        TV Special (1 eps)
        Dec 2016 - Dec 2016
        31,747 members",8.24
324,"Non Non Biyori Movie: Vacation
        Movie (1 eps)
        Aug 2018 - Aug 2018
        79,977 members",8.24
325,"Sennen Joyuu
        Movie (1 eps)
        Sep 2002 - Sep 2002
        190,762 members",8.24
326,"Tanoshii Muumin Ikka
        TV (78 eps)
        Apr 1990 - Oct 1991
        28,355 members",8.24
327,"Yubisaki to Renren
        TV (12 eps)
        Jan 2024 - Mar 2024
        231,297 members
      

 Manga Store
Volume 1
$10.99 Preview",8.24
328,"Boku no Kokoro no Yabai Yatsu
        TV (12 eps)
        Apr 2023 - Jun 2023
        313,813 members",8.24
329,"Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi
        Movie (1 eps)
        Mar 2011 - Mar 2011
        16,915 members",8.24
330,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen
        TV (11 eps)
        Jan 2023 - Mar 2023
        220,790 members
      

 Manga Store
Volume 1
$7.99  Preview",8.24
